流水號,課程名稱,授課教師,時間&教室,課程連結
37155,心理統計學上,彭昭英,"一5(北館N206)三6,7,8(北館N206)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=207%2012301&class=02&dpt_code=2070&ser_no=37155&semester=113-1&lang=CH
28461,心理統計學上,姚開屏,"五2,3,4(請洽系所辦)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=P01%20U2571&class=&dpt_code=P010&ser_no=28461&semester=113-1&lang=CH
76947,心理實驗法,郭柏呈,"二7,8,9(北館視聽)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=207%2021400&class=&dpt_code=2070&ser_no=76947&semester=113-1&lang=CH
78325,心靈洞察與發現熱情,錢玉芬,"三2,3,4(普102)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=H01%2009300&class=&dpt_code=P630&ser_no=78325&semester=113-1&lang=CH
97096,手球初級,許君恆,"一6,7(人工草皮球場)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=002%2050580&class=A4&dpt_code=T010&ser_no=97096&semester=113-1&lang=CH
97097,手球初級,許君恆,"二6,7(人工草皮球場)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=002%2050580&class=A5&dpt_code=T010&ser_no=97097&semester=113-1&lang=CH
49291,文化人類學,呂欣怡,"二7,8,9(博雅202)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=105%2013000&class=&dpt_code=1050&ser_no=49291&semester=113-1&lang=CH
66235,文化人類學基礎理論,王梅霞,"二7,8,9(水源人201)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=125%20M2630&class=&dpt_code=1250&ser_no=66235&semester=113-1&lang=CH
59530,文字探勘初論,陳建錦,"五2,3,4(管二301)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=725%20U3650&class=&dpt_code=7050&ser_no=59530&semester=113-1&lang=CH
78553,方案管理：策略利益的實現,江俊毅,"五7,8,9(管二303)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=741%20U7710&class=&dpt_code=7010&ser_no=78553&semester=113-1&lang=CH
80328,火山學概論,宋聖榮,"三A,B(中庭大講堂)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=204%2038300&class=&dpt_code=2040&ser_no=80328&semester=113-1&lang=CH
28169,森林氣候學及實習,中井太郎,"一1,2,3,4,5(木性)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=605%2031200&class=&dpt_code=6050&ser_no=28169&semester=113-1&lang=CH
68582,半導體導論,謝馬利歐,"四7,8,9(新物304)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=245%20M0080&class=&dpt_code=2220&ser_no=68582&semester=113-1&lang=CH
22362,去碳化策略,谷邁世,"二3,4(大氣系A100)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=229%20U6100&class=&dpt_code=2090&ser_no=22362&semester=113-1&lang=CH
43617,商事法總論及公司法,林仁光,"一2,3,4(霖1303)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=A01%2038000&class=01&dpt_code=A013&ser_no=43617&semester=113-1&lang=CH
57702,國際企業經營策略,陳俊忠,"一7,8,9(管二203)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=724%20M0460&class=01&dpt_code=7240&ser_no=57702&semester=113-1&lang=CH
